repdomains,log2val,sample_strand,direction,windows
LRD,-0.337258153853582,-,Right Replicating,1
LRD,-0.0688703007450708,+,Right Replicating,1
ERD,-0.222022155861754,-,Right Replicating,10
ERD,-0.224192903189563,+,Right Replicating,10
LRD,-0.258440803955027,-,Right Replicating,10
LRD,-0.229681441016293,+,Right Replicating,10
ERD,-0.0674681347387655,-,Right Replicating,100
ERD,-0.0790964183793278,+,Right Replicating,100
LRD,-0.607083385384468,-,Right Replicating,100
LRD,-0.854277879199069,+,Right Replicating,100
ERD,-0.181620504288429,-,Right Replicating,11
ERD,-0.182668296479831,+,Right Replicating,11
LRD,-0.243556139415053,-,Right Replicating,11
LRD,-0.312875707469486,+,Right Replicating,11
ERD,-0.186391590565706,-,Right Replicating,12
ERD,-0.117664034420226,+,Right Replicating,12
LRD,-0.290862556816926,-,Right Replicating,12
LRD,-0.232905606493039,+,Right Replicating,12
ERD,-0.238161601294959,-,Right Replicating,13
ERD,-0.243347908843731,+,Right Replicating,13
LRD,-0.174027526846407,-,Right Replicating,13
LRD,-0.264981856090804,+,Right Replicating,13
ERD,-0.262837368799341,-,Right Replicating,14
ERD,-0.0973523176491644,+,Right Replicating,14
LRD,-0.19958498582535,-,Right Replicating,14
LRD,-0.376063015467635,+,Right Replicating,14
ERD,-0.150233826602206,-,Right Replicating,15
ERD,-0.0796736978163404,+,Right Replicating,15
LRD,-0.25214483969386,-,Right Replicating,15
LRD,-0.307943309794356,+,Right Replicating,15
ERD,-0.180074775105129,-,Right Replicating,16
ERD,-0.282347939311423,+,Right Replicating,16
LRD,-0.0656958351891147,-,Right Replicating,16
LRD,-0.457935080429388,+,Right Replicating,16
ERD,-0.175596735813478,-,Right Replicating,17
ERD,-0.195439995098502,+,Right Replicating,17
LRD,-0.292937961111812,-,Right Replicating,17
LRD,-0.54021675191595,+,Right Replicating,17
ERD,-0.261273457188351,-,Right Replicating,18
ERD,-0.187021248829762,+,Right Replicating,18
LRD,-0.179325798282601,-,Right Replicating,18
LRD,-0.310821895679676,+,Right Replicating,18
ERD,-0.0983807717498833,-,Right Replicating,19
ERD,-0.268867370880459,+,Right Replicating,19
LRD,-0.268968523282357,-,Right Replicating,19
LRD,-0.364944437147718,+,Right Replicating,19
ERD,-0.32264072270267,-,Right Replicating,2
ERD,-0.125680186391211,+,Right Replicating,2
LRD,-0.36520898766932,-,Right Replicating,2
LRD,-0.147397392405849,+,Right Replicating,2
ERD,-0.0839984592168631,-,Right Replicating,20
ERD,-0.270319188057093,+,Right Replicating,20
LRD,-0.429985421423765,-,Right Replicating,20
LRD,-0.283511537770458,+,Right Replicating,20
ERD,-0.0999171224341733,-,Right Replicating,21
ERD,-0.242360844306083,+,Right Replicating,21
LRD,-0.199071358323395,-,Right Replicating,21
LRD,-0.351129332152381,+,Right Replicating,21
ERD,-0.237943764867143,-,Right Replicating,22
ERD,-0.128403999777285,+,Right Replicating,22
LRD,-0.123191287462453,-,Right Replicating,22
LRD,-0.41692087686304,+,Right Replicating,22
ERD,-0.128033080790502,-,Right Replicating,23
ERD,-0.133058287510331,+,Right Replicating,23
LRD,-0.159477264465815,-,Right Replicating,23
LRD,-0.364926114938272,+,Right Replicating,23
ERD,-0.158287197190072,-,Right Replicating,24
ERD,-0.171179512689575,+,Right Replicating,24
LRD,-0.215544668655718,-,Right Replicating,24
LRD,-0.468236552238296,+,Right Replicating,24
ERD,-0.0806354786018034,-,Right Replicating,25
ERD,-0.0959461561243976,+,Right Replicating,25
LRD,-0.378917528044006,-,Right Replicating,25
LRD,-0.54077990593413,+,Right Replicating,25
ERD,-0.296815264974939,-,Right Replicating,26
ERD,-0.0811482583393629,+,Right Replicating,26
LRD,-0.197224386907768,-,Right Replicating,26
LRD,-0.436092213246887,+,Right Replicating,26
ERD,-0.0933233890634846,-,Right Replicating,27
ERD,-0.176777701199189,+,Right Replicating,27
LRD,-0.293406490093421,-,Right Replicating,27
LRD,-0.425596097857382,+,Right Replicating,27
ERD,-0.186922078758389,-,Right Replicating,28
ERD,-0.200754221224607,+,Right Replicating,28
LRD,-0.259360534301521,-,Right Replicating,28
LRD,-0.439811234545256,+,Right Replicating,28
ERD,-0.30575876134564,-,Right Replicating,29
ERD,-0.109015255983549,+,Right Replicating,29
LRD,-0.248905709255288,-,Right Replicating,29
LRD,-0.422297150013891,+,Right Replicating,29
ERD,-0.043976627768427,-,Right Replicating,3
ERD,-0.0678082170820633,+,Right Replicating,3
LRD,-0.457294510826908,-,Right Replicating,3
LRD,-0.314662517834785,+,Right Replicating,3
ERD,-0.0960186310419075,-,Right Replicating,30
ERD,-0.0963408317820092,+,Right Replicating,30
LRD,-0.0908773842915706,-,Right Replicating,30
LRD,-0.608060222195058,+,Right Replicating,30
ERD,-0.220674016941018,-,Right Replicating,31
ERD,-0.0840687073000993,+,Right Replicating,31
LRD,-0.125787311433445,-,Right Replicating,31
LRD,-0.394927927455737,+,Right Replicating,31
ERD,-0.222598469626507,-,Right Replicating,32
ERD,-0.186061521647546,+,Right Replicating,32
LRD,-0.230371982835848,-,Right Replicating,32
LRD,-0.643006410131584,+,Right Replicating,32
ERD,-0.132194736912562,-,Right Replicating,33
ERD,-0.147965469179935,+,Right Replicating,33
LRD,-0.0969247431819782,-,Right Replicating,33
LRD,-0.558345407946218,+,Right Replicating,33
ERD,-0.202609624584337,-,Right Replicating,34
ERD,-0.207909600623175,+,Right Replicating,34
LRD,-0.124653027288585,-,Right Replicating,34
LRD,-0.675858692472181,+,Right Replicating,34
ERD,-0.412748335989064,-,Right Replicating,35
ERD,-0.188945094544499,+,Right Replicating,35
LRD,-0.0645477555512885,-,Right Replicating,35
LRD,-0.440763778374828,+,Right Replicating,35
ERD,-0.173232205674501,-,Right Replicating,36
ERD,-0.144104707247971,+,Right Replicating,36
LRD,-0.417218112512304,-,Right Replicating,36
LRD,-0.509402191935301,+,Right Replicating,36
ERD,-0.239361121541816,-,Right Replicating,37
ERD,-0.170069231358807,+,Right Replicating,37
LRD,-0.1562841210955,-,Right Replicating,37
LRD,-0.689457155326555,+,Right Replicating,37
ERD,-0.193634765408527,-,Right Replicating,38
ERD,-0.139677623308912,+,Right Replicating,38
LRD,-0.202653466140893,-,Right Replicating,38
LRD,-0.551841380624685,+,Right Replicating,38
