repdomains,log2val,sample_strand,direction,windows
LRD,-0.146316931191324,+,Left Replicating,-84
ERD,-0.306080424778216,-,Left Replicating,-85
ERD,-0.136395926316004,+,Left Replicating,-85
LRD,-0.605686804160458,-,Left Replicating,-85
LRD,-0.144185645748191,+,Left Replicating,-85
ERD,-0.253252561432293,-,Left Replicating,-86
ERD,-0.133487193471184,+,Left Replicating,-86
LRD,-0.571308071376231,-,Left Replicating,-86
LRD,-0.240139681189345,+,Left Replicating,-86
ERD,-0.15010205369182,-,Left Replicating,-87
ERD,-0.0603641043298504,+,Left Replicating,-87
LRD,-0.60005206800042,-,Left Replicating,-87
LRD,-0.192872417619696,+,Left Replicating,-87
ERD,-0.321685625708417,-,Left Replicating,-88
ERD,-0.033295831970673,+,Left Replicating,-88
LRD,-0.513024254430863,-,Left Replicating,-88
LRD,-0.102450983409176,+,Left Replicating,-88
ERD,-0.239516422958578,-,Left Replicating,-89
ERD,-0.285685323188844,+,Left Replicating,-89
LRD,-0.643663745123726,-,Left Replicating,-89
LRD,-0.229242638055198,+,Left Replicating,-89
ERD,-0.364625072579497,-,Left Replicating,-9
ERD,-0.245985638184716,+,Left Replicating,-9
LRD,-0.151116961538265,-,Left Replicating,-9
LRD,-0.182684026649289,+,Left Replicating,-9
ERD,-0.208426748623203,-,Left Replicating,-90
ERD,-0.161034514615661,+,Left Replicating,-90
LRD,-0.493296149282409,-,Left Replicating,-90
LRD,-0.144939323061435,+,Left Replicating,-90
ERD,-0.252301173447307,-,Left Replicating,-91
ERD,-0.223997711594396,+,Left Replicating,-91
LRD,-0.647419414433603,-,Left Replicating,-91
LRD,-0.096309177706758,+,Left Replicating,-91
ERD,-0.132439858052075,-,Left Replicating,-92
ERD,-0.0795341201255097,+,Left Replicating,-92
LRD,-0.442113891028464,-,Left Replicating,-92
LRD,-0.0534489502770901,+,Left Replicating,-92
ERD,-0.115624774351374,-,Left Replicating,-93
ERD,-0.0844104050518817,+,Left Replicating,-93
LRD,-0.617484559403882,-,Left Replicating,-93
LRD,-0.0283226832836319,+,Left Replicating,-93
ERD,-0.184132984675866,-,Left Replicating,-94
ERD,0.0115099438333347,+,Left Replicating,-94
LRD,-0.474794830683612,-,Left Replicating,-94
LRD,-0.311511849748141,+,Left Replicating,-94
ERD,-0.202430962712803,-,Left Replicating,-95
ERD,-0.0848200632296929,+,Left Replicating,-95
LRD,-0.536642538628219,-,Left Replicating,-95
LRD,-0.20441214308394,+,Left Replicating,-95
ERD,-0.0804708459440272,-,Left Replicating,-96
ERD,-0.0689539261774173,+,Left Replicating,-96
LRD,-0.656053631669783,-,Left Replicating,-96
LRD,-0.0917280074590134,+,Left Replicating,-96
ERD,-0.15251039113825,-,Left Replicating,-97
ERD,-0.137390940027387,+,Left Replicating,-97
LRD,-0.632050501352471,-,Left Replicating,-97
LRD,0.0218169215005357,+,Left Replicating,-97
ERD,-0.217947132989347,-,Left Replicating,-98
ERD,-0.0717391346418814,+,Left Replicating,-98
LRD,-0.412069491594087,-,Left Replicating,-98
LRD,0.103052847475556,+,Left Replicating,-98
ERD,-0.161475333785933,-,Left Replicating,-99
ERD,-0.108400405293534,+,Left Replicating,-99
LRD,-0.461616638353581,-,Left Replicating,-99
LRD,-0.0701362656835736,+,Left Replicating,-99
ERD,-0.301754319915536,-,Right Replicating,1
ERD,-0.299812553805552,+,Right Replicating,1
LRD,-0.179163338578543,-,Right Replicating,1
LRD,0.0158804689120201,+,Right Replicating,1
ERD,-0.353882065615327,-,Right Replicating,10
ERD,-0.384574059441208,+,Right Replicating,10
LRD,-0.0561433325209968,-,Right Replicating,10
LRD,-0.259800127217794,+,Right Replicating,10
ERD,-0.130040552219338,-,Right Replicating,100
ERD,-0.0991695646093652,+,Right Replicating,100
LRD,-0.233298409179943,-,Right Replicating,100
LRD,-0.661872131475867,+,Right Replicating,100
ERD,-0.332710075510279,-,Right Replicating,11
ERD,-0.139852318846585,+,Right Replicating,11
LRD,-0.138593494833142,-,Right Replicating,11
LRD,-0.0466108975600762,+,Right Replicating,11
ERD,-0.183501244540478,-,Right Replicating,12
ERD,-0.233429036367154,+,Right Replicating,12
LRD,-0.036673335015821,-,Right Replicating,12
LRD,-0.107620657407431,+,Right Replicating,12
ERD,-0.271936601811876,-,Right Replicating,13
ERD,-0.226120689123436,+,Right Replicating,13
LRD,-0.00959262479644511,-,Right Replicating,13
LRD,-0.0700020366801997,+,Right Replicating,13
ERD,-0.293323337478064,-,Right Replicating,14
ERD,-0.23542797337144,+,Right Replicating,14
LRD,-0.00205247222408785,-,Right Replicating,14
LRD,-0.0980486022613081,+,Right Replicating,14
ERD,-0.193625595257008,-,Right Replicating,15
ERD,-0.188831778029977,+,Right Replicating,15
LRD,-0.154993335565418,-,Right Replicating,15
LRD,-0.196705924988275,+,Right Replicating,15
ERD,-0.190855200344155,-,Right Replicating,16
ERD,-0.302528853504029,+,Right Replicating,16
LRD,-0.0379351150422899,-,Right Replicating,16
LRD,-0.250180680784759,+,Right Replicating,16
ERD,-0.104954799695961,-,Right Replicating,17
ERD,-0.193006527831489,+,Right Replicating,17
LRD,-0.191418077142228,-,Right Replicating,17
LRD,-0.160557329968018,+,Right Replicating,17
ERD,-0.274633777727558,-,Right Replicating,18
ERD,-0.156825622251061,+,Right Replicating,18
LRD,-0.0679008691065602,-,Right Replicating,18
LRD,-0.213646963555589,+,Right Replicating,18
ERD,-0.147194256543925,-,Right Replicating,19
ERD,-0.165959143922398,+,Right Replicating,19
LRD,0.0806070562258805,-,Right Replicating,19
LRD,-0.310119695073127,+,Right Replicating,19
ERD,-0.274731209232554,-,Right Replicating,2
ERD,-0.210374495023441,+,Right Replicating,2
LRD,-0.186675920931539,-,Right Replicating,2
LRD,0.0647720684348029,+,Right Replicating,2
ERD,-0.199555258957071,-,Right Replicating,20
ERD,-0.305167661799608,+,Right Replicating,20
LRD,-0.054653024063812,-,Right Replicating,20
LRD,-0.281850082117849,+,Right Replicating,20
ERD,-0.180903044465859,-,Right Replicating,21
ERD,-0.0711157725532157,+,Right Replicating,21
LRD,-0.141025751689826,-,Right Replicating,21
LRD,-0.126832021422493,+,Right Replicating,21
ERD,-0.146469966848071,-,Right Replicating,22
ERD,-0.232008638564318,+,Right Replicating,22
LRD,-0.0476674632292016,-,Right Replicating,22
LRD,-0.146088851492888,+,Right Replicating,22
ERD,-0.191093228508264,-,Right Replicating,23
ERD,-0.249856078606641,+,Right Replicating,23
LRD,0.0125026852404114,-,Right Replicating,23
LRD,-0.143096936280818,+,Right Replicating,23
ERD,-0.110712062381376,-,Right Replicating,24
ERD,-0.225988934111759,+,Right Replicating,24
LRD,-0.0213125265316976,-,Right Replicating,24
LRD,-0.255689390192912,+,Right Replicating,24
ERD,-0.272416555105541,-,Right Replicating,25
ERD,-0.114128889785245,+,Right Replicating,25
LRD,0.151099362823427,-,Right Replicating,25
LRD,-0.235591514863036,+,Right Replicating,25
ERD,-0.169654110976058,-,Right Replicating,26
ERD,-0.182364290621787,+,Right Replicating,26
LRD,-0.00228044922642286,-,Right Replicating,26
LRD,-0.116206769996534,+,Right Replicating,26
ERD,-0.173775883347841,-,Right Replicating,27
ERD,-0.261504260200263,+,Right Replicating,27
LRD,-0.171193642062808,-,Right Replicating,27
LRD,-0.331390773457257,+,Right Replicating,27
ERD,-0.138382296375612,-,Right Replicating,28
ERD,-0.244277853158683,+,Right Replicating,28
LRD,0.0417802556361367,-,Right Replicating,28
LRD,-0.27275993904209,+,Right Replicating,28
ERD,-0.265412473268494,-,Right Replicating,29
ERD,-0.450382394006439,+,Right Replicating,29
LRD,-0.0428031009638318,-,Right Replicating,29
LRD,-0.317827794238716,+,Right Replicating,29
ERD,-0.170422709522443,-,Right Replicating,3
ERD,-0.195883814547156,+,Right Replicating,3
LRD,-0.273572694026691,-,Right Replicating,3
LRD,-0.138572067389671,+,Right Replicating,3
ERD,-0.217645837839607,-,Right Replicating,30
ERD,-0.183222094771261,+,Right Replicating,30
LRD,0.0519829170256702,-,Right Replicating,30
LRD,-0.293522527935632,+,Right Replicating,30
ERD,-0.187185587439213,-,Right Replicating,31
ERD,-0.239374694173698,+,Right Replicating,31
LRD,-0.135198777098267,-,Right Replicating,31
LRD,-0.302063471597946,+,Right Replicating,31
ERD,-0.0767996812937209,-,Right Replicating,32
ERD,-0.263128900710497,+,Right Replicating,32
LRD,0.102028755163624,-,Right Replicating,32
LRD,-0.188249796231055,+,Right Replicating,32
ERD,-0.166048198228389,-,Right Replicating,33
ERD,-0.110519521456676,+,Right Replicating,33
LRD,0.238514993315867,-,Right Replicating,33
LRD,-0.297782049397483,+,Right Replicating,33
ERD,-0.240523719659592,-,Right Replicating,34
ERD,-0.191402297173869,+,Right Replicating,34
LRD,0.0484285691924008,-,Right Replicating,34
LRD,-0.436283411563322,+,Right Replicating,34
ERD,-0.157318186973356,-,Right Replicating,35
ERD,-0.237619579816057,+,Right Replicating,35
LRD,0.0275078600494735,-,Right Replicating,35
LRD,-0.30483646680651,+,Right Replicating,35
ERD,-0.307333944336658,-,Right Replicating,36
ERD,-0.253450381566031,+,Right Replicating,36
LRD,0.0207491046194112,-,Right Replicating,36
LRD,-0.366578979953767,+,Right Replicating,36
ERD,-0.20179621209766,-,Right Replicating,37
ERD,-0.166063479442308,+,Right Replicating,37
LRD,-0.209363598975059,-,Right Replicating,37
LRD,-0.353928658634034,+,Right Replicating,37
ERD,-0.183840407735353,-,Right Replicating,38
ERD,-0.287737205449152,+,Right Replicating,38
LRD,-0.0492703197108999,-,Right Replicating,38
LRD,-0.212900454412678,+,Right Replicating,38
ERD,-0.213026909820838,-,Right Replicating,39
ERD,-0.261659368624738,+,Right Replicating,39
LRD,0.0474993935333877,-,Right Replicating,39
LRD,-0.450767128850703,+,Right Replicating,39
ERD,-0.312458745744568,-,Right Replicating,4
ERD,-0.157317120271331,+,Right Replicating,4
LRD,-0.102807440596819,-,Right Replicating,4
LRD,-0.122627648941393,+,Right Replicating,4
ERD,-0.247059984646157,-,Right Replicating,40
ERD,-0.210392469412949,+,Right Replicating,40
LRD,-0.0234892006537033,-,Right Replicating,40
LRD,-0.434344130315965,+,Right Replicating,40
ERD,-0.182897553362422,-,Right Replicating,41
ERD,-0.249789329072442,+,Right Replicating,41
LRD,0.10278370734749,-,Right Replicating,41
LRD,-0.484734816418049,+,Right Replicating,41
ERD,-0.189551573592134,-,Right Replicating,42
ERD,-0.219246988421011,+,Right Replicating,42
LRD,-0.0218387927555821,-,Right Replicating,42
LRD,-0.365411530292237,+,Right Replicating,42
