repdomains,log2val,norm,strands,direction,window_number
ERD,-7.01373256143538,0.00773848807073259,-,Right Replicating,13
ERD,-6.95981863373895,0.00803314908266328,+,Right Replicating,13
ERD,-6.75629506754596,0.00925022986866079,-,Right Replicating,14
ERD,-7.15158623015624,0.00703328195645648,+,Right Replicating,14
ERD,-6.8258429016485,0.00881488276929701,-,Right Replicating,15
ERD,-6.84192948109081,0.0087171395388834,+,Right Replicating,15
ERD,-7.03770814828249,0.00761094785806337,-,Right Replicating,16
ERD,-7.20906558922692,0.00675857312328364,+,Right Replicating,16
ERD,-6.9294295169183,0.00820415510818719,-,Right Replicating,17
ERD,-6.91710886650025,0.00827451881676752,+,Right Replicating,17
ERD,-7.03985161424845,0.00759964838435404,-,Right Replicating,18
ERD,-7.01166090343565,0.00774960824242687,+,Right Replicating,18
ERD,-7.25640089896386,0.0065404204660842,-,Left Replicating,-89
ERD,-7.12485820473395,0.00716479824504771,+,Left Replicating,-89
ERD,-7.00437796673441,0.00778882831540016,-,Right Replicating,19
ERD,-7.11453143474393,0.00721626765523588,+,Right Replicating,19
ERD,-6.84312009647799,0.00870994849801723,-,Right Replicating,20
ERD,-6.78689620527249,0.00905608864131974,+,Right Replicating,20
ERD,-6.91166549648841,0.00830579801639357,-,Right Replicating,21
ERD,-6.83932673034119,0.00873288023197291,+,Right Replicating,21
ERD,-6.91242323245806,0.00830143676938444,-,Right Replicating,22
ERD,-6.9935884359702,0.0078472972456536,+,Right Replicating,22
ERD,-6.80632864374611,0.00893492513389265,-,Right Replicating,23
ERD,-6.8491901659724,0.00867337879822636,+,Right Replicating,23
ERD,-6.85333574117988,0.0086484916719375,-,Right Replicating,24
ERD,-7.0328149495352,0.00763680578902106,+,Right Replicating,24
ERD,-6.79230175847383,0.00902222037945367,-,Right Replicating,25
ERD,-7.18204563685118,0.00688634589404778,+,Right Replicating,25
ERD,-6.97540962602299,0.00794680342937734,-,Right Replicating,26
ERD,-7.04965560251969,0.00754817924199854,+,Right Replicating,26
ERD,-6.90691107135492,0.00833321506162358,-,Right Replicating,27
ERD,-6.87370527732491,0.00852724085912808,+,Right Replicating,27
ERD,-7.09008324439517,0.00733959796667898,-,Right Replicating,28
ERD,-7.05624993871117,0.0075137564112374,+,Right Replicating,28
ERD,-7.43284238156285,0.00578750647762263,-,Left Replicating,-88
ERD,-7.13070596565154,0.00713581552401882,+,Left Replicating,-88
ERD,-6.67392220991441,0.00979375478700371,-,Right Replicating,29
ERD,-7.04265360489118,0.0075849027327908,+,Right Replicating,29
ERD,-6.88849073995129,0.00844029570618208,-,Right Replicating,30
ERD,-7.08255678337946,0.00737798830036398,+,Right Replicating,30
ERD,-6.755314577543,0.00925651868255737,-,Right Replicating,31
ERD,-6.92859157851548,0.00820892158568028,+,Right Replicating,31
ERD,-6.63146485648165,0.0100862600917918,-,Right Replicating,32
ERD,-7.03730451366992,0.00761307753321169,+,Right Replicating,32
ERD,-6.78552662138207,0.00906468987850966,-,Right Replicating,33
ERD,-6.6391790422798,0.0100324721240781,+,Right Replicating,33
ERD,-7.020937839683,0.0076999359490453,-,Right Replicating,34
ERD,-7.037170159022,0.00761378655344948,+,Right Replicating,34
ERD,-6.84897467217715,0.00867467442818178,-,Right Replicating,35
ERD,-6.75595625798096,0.00925240249302537,+,Right Replicating,35
ERD,-7.24531244552211,0.00659088336025025,-,Right Replicating,36
ERD,-7.04400634295643,0.00757779410792408,+,Right Replicating,36
ERD,-7.09782354003277,0.00730032526562331,-,Right Replicating,37
ERD,-6.72006115069864,0.0094854954694843,+,Right Replicating,37
ERD,-7.17308494942935,0.0069292506106844,-,Right Replicating,38
ERD,-6.87217480323526,0.00853629172965707,+,Right Replicating,38
ERD,-7.14148093990931,0.0070827191907523,-,Left Replicating,-87
