chromosomes,start_position,end_position,dataset,score,dataset_strand,product,windows,phase,time_after_exposure,repdomains,sample_strand,replicate,real,sim,xr_ds
.,0,100,Initiation Zones,0,.,64_PP,56,late,12,LRD,-,_,0.734457857369577,0.722195173106439,1.0169797372231
.,0,100,Initiation Zones,0,.,64_PP,56,late,12,LRD,+,_,0.696833414607711,0.678867656043746,1.02646430184738
.,0,100,Initiation Zones,0,.,64_PP,57,late,12,ERD,-,_,1.19086428923752,1.44805307328737,0.822389946339481
.,0,100,Initiation Zones,0,.,64_PP,57,late,12,ERD,+,_,1.28863052365132,1.42004432300407,0.907457959428518
.,0,100,Initiation Zones,0,.,64_PP,57,late,12,LRD,-,_,0.689245996182255,0.811768485550429,0.849067201364566
.,0,100,Initiation Zones,0,.,64_PP,57,late,12,LRD,+,_,0.66617310756703,0.746727786620855,0.892123099612568
.,0,100,Initiation Zones,0,.,64_PP,58,late,12,ERD,-,_,1.22657594197169,1.52780236414679,0.802836787503388
.,0,100,Initiation Zones,0,.,64_PP,58,late,12,ERD,+,_,1.18566277631466,1.59067000801307,0.745385762189412
.,0,100,Initiation Zones,0,.,64_PP,58,late,12,LRD,-,_,0.796305772955439,0.731847570531059,1.08807599426422
.,0,100,Initiation Zones,0,.,64_PP,58,late,12,LRD,+,_,0.691698575002307,0.740177542878567,0.934503595329677
.,0,100,Initiation Zones,0,.,64_PP,59,late,12,ERD,-,_,1.30389216053614,1.5378898947624,0.847844936738848
.,0,100,Initiation Zones,0,.,64_PP,59,late,12,ERD,+,_,1.14970244110401,1.5059463305907,0.763441842348419
.,0,100,Initiation Zones,0,.,64_PP,59,late,12,LRD,-,_,0.626238536871479,0.671559260028123,0.932514186231688
.,0,100,Initiation Zones,0,.,64_PP,59,late,12,LRD,+,_,0.7634464690903,0.689304312967729,1.10756084754984
.,0,100,Initiation Zones,0,.,64_PP,6,late,12,ERD,-,_,1.28318958872221,1.44608760692016,0.887352593702888
.,0,100,Initiation Zones,0,.,64_PP,6,late,12,ERD,+,_,1.32375043310094,1.54552495939104,0.856505373826192
.,0,100,Initiation Zones,0,.,64_PP,6,late,12,LRD,-,_,0.782422336907973,0.775868596504018,1.00844697212065
.,0,100,Initiation Zones,0,.,64_PP,6,late,12,LRD,+,_,0.800232222459123,0.805726181080196,0.993181357699327
.,0,100,Initiation Zones,0,.,64_PP,60,late,12,ERD,-,_,1.15615029776248,1.63985653479768,0.705031369042977
.,0,100,Initiation Zones,0,.,64_PP,60,late,12,ERD,+,_,1.09833176890911,1.5540759773941,0.706742646360709
.,0,100,Initiation Zones,0,.,64_PP,60,late,12,LRD,-,_,0.71860737796908,0.732546846560231,0.980971225722142
.,0,100,Initiation Zones,0,.,64_PP,60,late,12,LRD,+,_,0.631436728118108,0.676914505025698,0.932816069725285
.,0,100,Initiation Zones,0,.,64_PP,61,late,12,ERD,-,_,1.23181214314241,1.41183865104473,0.872487902375314
.,0,100,Initiation Zones,0,.,64_PP,61,late,12,ERD,+,_,1.15157674101098,1.59402520841349,0.722433205530754
.,0,100,Initiation Zones,0,.,64_PP,61,late,12,LRD,-,_,0.775450344390462,0.790225134745801,0.981303061993729
.,0,100,Initiation Zones,0,.,64_PP,61,late,12,LRD,+,_,0.725698898146406,0.695493529281494,1.04343012205465
.,0,100,Initiation Zones,0,.,64_PP,62,late,12,ERD,-,_,1.15562611803136,1.41883383543996,0.81449010389086
.,0,100,Initiation Zones,0,.,64_PP,62,late,12,ERD,+,_,1.29637965346915,1.31103049008649,0.988824945927555
.,0,100,Initiation Zones,0,.,64_PP,62,late,12,LRD,-,_,0.715169065155831,0.660720443534975,1.08240795657774
