dataset,chromosomes,start_position,end_position,score,dataset_strand,product,phase,method,sample_strand,windows,repdomains,12,120,diff
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,0,LRD,0.13340722725444,0.158246029145578,-0.186187828068449
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,1,ERD,0.180911570364905,0.170360063979753,0.0583241103035543
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,1,LRD,0.128099247390205,0.152940846176138,-0.193924627131203
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,2,ERD,0.163808079691259,0.164684834713316,-0.00535233075017008
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,2,LRD,0.148977301522862,0.148848276456856,0.000866071976655294
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,3,ERD,0.180911570364905,0.170772807926403,0.0560426423697046
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,3,LRD,0.139776803091522,0.157791299176769,-0.128880441438137
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,4,ERD,0.176575474137783,0.169431390099791,0.0404590958788426
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,4,LRD,0.134822688551569,0.14687777992535,-0.0894144116490408
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,5,ERD,0.176093685668103,0.165613508593279,0.0595147806411242
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,5,LRD,0.139776803091522,0.146271473300271,-0.0464645782783885
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,6,ERD,0.170312224031941,0.164581648726654,0.0336474691576583
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,6,LRD,0.132345631281593,0.143694670143686,-0.0857530297917084
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,7,ERD,0.186933926235907,0.169225018126466,0.0947335160932371
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,7,LRD,0.139422937767239,0.159610219052005,-0.144791679246263
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,8,ERD,0.173202954850022,0.171598295819703,0.00926461694437552
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,8,LRD,0.125976055444511,0.159155489083196,-0.263378889913727
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,9,ERD,0.171757589440981,0.163137044913379,0.0501901811480902
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,9,LRD,0.148269570874298,0.161732292239781,-0.0907989500886666
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,10,ERD,0.170071329797101,0.173352457592965,-0.0192926567915846
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,10,LRD,0.14402318698291,0.180527797617225,-0.253463427653821
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,11,ERD,0.173684743319702,0.165716694579941,0.0458765035285457
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,11,LRD,0.15322368541425,0.160064949020814,-0.0446488647500425
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,12,ERD,0.174648320259063,0.168193158259841,0.0369609165988343
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,12,LRD,0.140838399064369,0.163096482146209,-0.158039875699431
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,13,ERD,0.187897503175267,0.169018646153141,0.100474230381427
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,13,LRD,0.141899995037216,0.171130044928503,-0.20599049269608
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,14,ERD,0.187897503175267,0.175209805352889,0.0675245684906364
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,14,LRD,0.172332412925496,0.171584774897312,0.00433834828568949
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,15,ERD,0.176093685668103,0.169018646153141,0.0401777013645865
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,15,LRD,0.156762338657074,0.171130044928503,-0.091652793614285
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,16,ERD,0.175611897198423,0.173662015552952,0.0111033573270243
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,16,LRD,0.136238149848698,0.179769914335877,-0.319526979304426
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,17,ERD,0.166217022039659,0.166232624513254,-0.0000938680852464081
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,17,LRD,0.164193510467003,0.176889957866752,-0.0773261218646093
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,18,ERD,0.174648320259063,0.16107332518013,0.0777276017244052
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,18,LRD,0.160654857224179,0.184317214023968,-0.147286905659938
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,19,ERD,0.16814417591838,0.171391923846378,-0.0193152567447472
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,19,LRD,0.151100493468556,0.18871293705579,-0.248923366984637
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,20,ERD,0.177539051077144,0.171288737859715,0.0352052868341204
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,20,LRD,0.157470069305638,0.174767884678976,-0.109848274339449
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,21,ERD,0.183802301182986,0.165716694579941,0.0983970629673413
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,21,LRD,0.172332412925496,0.173706848085088,-0.00797548839628954
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,22,ERD,0.181152464599745,0.170875993913065,0.056728296296633
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,22,LRD,0.164901241115567,0.187045593836823,-0.134288575219006
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,23,ERD,0.184524983887506,0.183361498299225,0.00630530112383124
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,23,LRD,0.152162089441403,0.188258207086981,-0.237221490438836
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,24,ERD,0.178743522251344,0.1831551263259,-0.02468119694068
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,24,LRD,0.162070318521309,0.185832980586665,-0.146619456802216
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,25,ERD,0.176093685668103,0.169637762073116,0.0366618687688524
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,25,LRD,0.158885530602768,0.181588834211113,-0.142890944960283
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,26,ERD,0.186211243531387,0.174590689432914,0.062405222574616
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,26,LRD,0.159593261251332,0.185832980586665,-0.164416211120654
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,27,ERD,0.184284089652666,0.172423783713002,0.0643588166619135
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,27,LRD,0.170209220979802,0.192502353462532,-0.130974881116313
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,28,ERD,0.190788233993348,0.170772807926403,0.10490912174198
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,28,LRD,0.175517200844037,0.192199200149993,-0.0950448117092468
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,29,ERD,0.187897503175267,0.183774242245875,0.0219442028750435
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,29,LRD,0.157116203981356,0.194321273337769,-0.236799696107906
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,30,ERD,0.176816368372623,0.174900247392902,0.010836785063266
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,30,LRD,0.16525510643985,0.180982527586034,-0.0951705607469937
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,31,ERD,0.190065551288828,0.174590689432914,0.0814185513943954
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,31,LRD,0.163485779818438,0.192653930118802,-0.178413990089885
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,32,ERD,0.19681058986435,0.187488937765724,0.0473635697400781
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,32,LRD,0.166670567736979,0.184468790680238,-0.106786838161767
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,33,ERD,0.175130108728743,0.178305384952764,-0.0181309555910755
