repdomains,log2val,sample_strand,direction,windows
LRD,-0.760104549061224,+,Left Replicating,-53
ERD,0.201329599636566,-,Left Replicating,-54
ERD,0.18093836872135,+,Left Replicating,-54
LRD,-1.14218719576756,-,Left Replicating,-54
LRD,-0.924311127363874,+,Left Replicating,-54
ERD,0.119864587399685,-,Left Replicating,-55
ERD,0.263709332659918,+,Left Replicating,-55
LRD,-1.18049052836992,-,Left Replicating,-55
LRD,-0.762078564159087,+,Left Replicating,-55
ERD,-0.126252026483582,-,Left Replicating,-56
ERD,-0.0260680945669924,+,Left Replicating,-56
LRD,-1.24585285470961,-,Left Replicating,-56
LRD,-0.765772438493366,+,Left Replicating,-56
ERD,0.161136513623005,-,Left Replicating,-57
ERD,0.206944309088312,+,Left Replicating,-57
LRD,-1.31779798629008,-,Left Replicating,-57
LRD,-0.700483098290248,+,Left Replicating,-57
ERD,0.146500360818042,-,Left Replicating,-58
ERD,0.200158768511053,+,Left Replicating,-58
LRD,-1.04586078066906,-,Left Replicating,-58
LRD,-0.615202564263463,+,Left Replicating,-58
ERD,0.194572844065522,-,Left Replicating,-59
ERD,0.185872610548648,+,Left Replicating,-59
LRD,-1.05522114847441,-,Left Replicating,-59
LRD,-0.714998007745278,+,Left Replicating,-59
ERD,0.354022279931605,-,Left Replicating,-6
ERD,0.0809784298604629,+,Left Replicating,-6
LRD,-0.859958079028777,-,Left Replicating,-6
LRD,-0.699802089034244,+,Left Replicating,-6
ERD,0.183341236552808,-,Left Replicating,-60
ERD,0.0271625610962347,+,Left Replicating,-60
LRD,-1.28349137958057,-,Left Replicating,-60
LRD,-0.669140002390367,+,Left Replicating,-60
ERD,0.0863171149908085,-,Left Replicating,-61
ERD,0.173154602491195,+,Left Replicating,-61
LRD,-1.04807626780852,-,Left Replicating,-61
LRD,-0.829532166084108,+,Left Replicating,-61
ERD,0.0495000403129892,-,Left Replicating,-62
ERD,0.193251865007898,+,Left Replicating,-62
LRD,-1.12925294530454,-,Left Replicating,-62
LRD,-0.682148403692079,+,Left Replicating,-62
ERD,0.0569029612708192,-,Left Replicating,-63
ERD,0.240458238287811,+,Left Replicating,-63
LRD,-1.1031154318821,-,Left Replicating,-63
LRD,-0.689330288343436,+,Left Replicating,-63
ERD,0.219621926920053,-,Left Replicating,-64
ERD,0.106090963380736,+,Left Replicating,-64
LRD,-1.22179713632063,-,Left Replicating,-64
LRD,-0.785347219369713,+,Left Replicating,-64
ERD,0.134340887072597,-,Left Replicating,-65
ERD,0.253559388299253,+,Left Replicating,-65
LRD,-1.48559780601592,-,Left Replicating,-65
LRD,-0.987595692634871,+,Left Replicating,-65
ERD,0.0965244364083341,-,Left Replicating,-66
ERD,0.0672493657357051,+,Left Replicating,-66
LRD,-1.36184115390144,-,Left Replicating,-66
LRD,-0.928578472070637,+,Left Replicating,-66
ERD,0.234758913924744,-,Left Replicating,-67
ERD,0.073782491881129,+,Left Replicating,-67
LRD,-0.989436940476174,-,Left Replicating,-67
LRD,-0.823097590631605,+,Left Replicating,-67
ERD,0.121041027248217,-,Left Replicating,-68
ERD,0.130205218421606,+,Left Replicating,-68
LRD,-1.36408433959263,-,Left Replicating,-68
LRD,-0.794033229197154,+,Left Replicating,-68
ERD,0.0601935008638739,-,Left Replicating,-69
ERD,0.117750688451201,+,Left Replicating,-69
LRD,-1.29865403076997,-,Left Replicating,-69
LRD,-0.689463077925127,+,Left Replicating,-69
ERD,0.138566487160631,-,Left Replicating,-7
ERD,-0.0275778201041312,+,Left Replicating,-7
LRD,-0.669137054708475,-,Left Replicating,-7
LRD,-0.594675603967471,+,Left Replicating,-7
ERD,0.221377686852724,-,Left Replicating,-70
ERD,0.110152888645252,+,Left Replicating,-70
LRD,-1.10317364567214,-,Left Replicating,-70
LRD,-0.76139901145811,+,Left Replicating,-70
ERD,0.1290796503011,-,Left Replicating,-71
ERD,0.298577970148247,+,Left Replicating,-71
LRD,-1.48890698876011,-,Left Replicating,-71
LRD,-0.510203796389935,+,Left Replicating,-71
ERD,0.0755631205547118,-,Left Replicating,-72
ERD,-0.048476755679352,+,Left Replicating,-72
LRD,-1.09519303049682,-,Left Replicating,-72
LRD,-0.658495027618252,+,Left Replicating,-72
ERD,-0.0972146090322609,-,Left Replicating,-73
ERD,0.198930637780186,+,Left Replicating,-73
LRD,-1.36545840026365,-,Left Replicating,-73
LRD,-0.516128379430712,+,Left Replicating,-73
