dataset,chromosomes,start_position,end_position,score,dataset_strand,counts,sample_names,file_names,layout,cell_line,product,method,uv_exposure,treatment,phase,time_after_exposure,replicate,project,sample_source,sample_strand,mapped_reads,RPKM,windows,repdomains
iz,.,0,100,0,.,0.344827586206897,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.194163087891463,34,LRD
iz,.,0,100,0,.,0.328965517241379,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.185231585848456,34,LRD
iz,.,0,100,0,.,0.317931034482759,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.179018367035929,35,LRD
iz,.,0,100,0,.,0.364137931034483,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.205036220813385,35,LRD
iz,.,0,100,0,.,0.377241379310345,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.212414418153261,36,LRD
iz,.,0,100,0,.,0.331724137931035,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.186784890551588,36,LRD
iz,.,0,100,0,.,0.342758620689655,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.192998109364115,37,LRD
iz,.,0,100,0,.,0.296551724137931,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.166980255586658,37,LRD
iz,.,0,100,0,.,0.346206896551724,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.194939740243029,38,LRD
iz,.,0,100,0,.,0.317931034482759,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.179018367035929,38,LRD
iz,.,0,100,0,.,0.273793103448276,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.154165491785822,-87,LRD
iz,.,0,100,0,.,0.348275862068965,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.196104718770378,-87,LRD
iz,.,0,100,0,.,0.355862068965517,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.20037630670399,39,LRD
iz,.,0,100,0,.,0.31448275862069,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.177076736157014,39,LRD
iz,.,0,100,0,.,0.332413793103448,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.187173216727371,40,LRD
iz,.,0,100,0,.,0.299310344827586,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.16853356028979,40,LRD
iz,.,0,100,0,.,0.357241379310345,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.201152959055556,41,LRD
iz,.,0,100,0,.,0.324827586206897,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.182901628793758,41,LRD
iz,.,0,100,0,.,0.38551724137931,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.217074332262656,42,LRD
iz,.,0,100,0,.,0.311034482758621,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.1751351052781,42,LRD
iz,.,0,100,0,.,0.348275862068965,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.196104718770378,43,LRD
iz,.,0,100,0,.,0.340689655172414,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.191833130836766,43,LRD
iz,.,0,100,0,.,0.348965517241379,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.196493044946161,44,LRD
iz,.,0,100,0,.,0.319310344827586,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.179795019387495,44,LRD
iz,.,0,100,0,.,0.340689655172414,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.191833130836766,45,LRD
iz,.,0,100,0,.,0.298620689655172,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.168145234114007,45,LRD
iz,.,0,100,0,.,0.333103448275862,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.187561542903154,46,LRD
iz,.,0,100,0,.,0.339310344827586,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.1910564784852,46,LRD
iz,.,0,100,0,.,0.310344827586207,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.174746779102317,47,LRD
iz,.,0,100,0,.,0.362068965517241,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.203871242286036,47,LRD
iz,.,0,100,0,.,0.331034482758621,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.186396564375805,48,LRD
iz,.,0,100,0,.,0.330344827586207,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.186008238200022,48,LRD
iz,.,0,100,0,.,0.317241379310345,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.178630040860146,-86,LRD
iz,.,0,100,0,.,0.364137931034483,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.205036220813385,-86,LRD
iz,.,0,100,0,.,0.337241379310345,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.189891499957851,49,LRD
iz,.,0,100,0,.,0.306206896551724,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.172416822047619,49,LRD
iz,.,0,100,0,.,0.362758620689655,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.204259568461819,50,LRD
iz,.,0,100,0,.,0.302758620689655,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.170475191168705,50,LRD
iz,.,0,100,0,.,0.367586206896552,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.2069778516923,51,LRD
