chromosomes,start_position,end_position,dataset,score,dataset_strand,product,phase,windows,time_after_exposure,sample_strand,replicate,real_sim
.,0,10000,LRD,0,.,64_PP,early,-85,12,-,_,0.971087084032261
.,0,10000,LRD,0,.,64_PP,early,-85,12,+,_,0.998729652727353
.,0,10000,LRD,0,.,64_PP,early,-84,12,-,_,0.965759055876853
.,0,10000,LRD,0,.,64_PP,early,-84,12,+,_,0.969948679756243
.,0,10000,LRD,0,.,64_PP,early,-83,12,-,_,0.985356719914166
.,0,10000,LRD,0,.,64_PP,early,-83,12,+,_,0.978960925168186
.,0,10000,LRD,0,.,64_PP,early,-82,12,-,_,0.986364649252755
.,0,10000,LRD,0,.,64_PP,early,-82,12,+,_,0.989261827766714
.,0,10000,LRD,0,.,64_PP,early,-81,12,-,_,0.956723517552786
.,0,10000,LRD,0,.,64_PP,early,-81,12,+,_,0.985043675050313
.,0,10000,LRD,0,.,64_PP,early,-80,12,-,_,0.955217726733907
.,0,10000,LRD,0,.,64_PP,early,-80,12,+,_,0.93995960561806
.,0,10000,LRD,0,.,64_PP,early,-79,12,-,_,0.968184227572804
.,0,10000,LRD,0,.,64_PP,early,-79,12,+,_,0.987750015216839
.,0,10000,LRD,0,.,64_PP,early,-78,12,-,_,0.91587254673418
.,0,10000,LRD,0,.,64_PP,early,-78,12,+,_,0.973271599134024
.,0,10000,LRD,0,.,64_PP,early,-77,12,-,_,0.959965915517228
.,0,10000,LRD,0,.,64_PP,early,-77,12,+,_,0.977725872494923
.,0,10000,LRD,0,.,64_PP,early,-76,12,-,_,0.946626530277364
.,0,10000,LRD,0,.,64_PP,early,-76,12,+,_,0.963184634148709
.,0,10000,LRD,0,.,64_PP,early,-75,12,-,_,0.974645377044285
.,0,10000,LRD,0,.,64_PP,early,-75,12,+,_,1.0229597008417
.,0,10000,LRD,0,.,64_PP,early,-74,12,-,_,0.951498191413505
.,0,10000,LRD,0,.,64_PP,early,-74,12,+,_,0.957941723164363
.,0,10000,LRD,0,.,64_PP,early,-73,12,-,_,0.941549874124214
.,0,10000,LRD,0,.,64_PP,early,-73,12,+,_,0.981839854341865
.,0,10000,LRD,0,.,64_PP,early,-72,12,-,_,0.948167837390961
.,0,10000,LRD,0,.,64_PP,early,-72,12,+,_,0.975355855728992
.,0,10000,LRD,0,.,64_PP,early,-71,12,-,_,0.945196099059736
.,0,10000,LRD,0,.,64_PP,early,-71,12,+,_,0.975228643036709
.,0,10000,LRD,0,.,64_PP,early,-70,12,-,_,0.967376807835938
.,0,10000,LRD,0,.,64_PP,early,-70,12,+,_,0.941109527516221
.,0,10000,LRD,0,.,64_PP,early,-69,12,-,_,0.940279666655595
.,0,10000,LRD,0,.,64_PP,early,-69,12,+,_,0.938675358774697
.,0,10000,LRD,0,.,64_PP,early,-68,12,-,_,0.93144972761742
.,0,10000,LRD,0,.,64_PP,early,-68,12,+,_,0.944743622106051
.,0,10000,LRD,0,.,64_PP,early,-67,12,-,_,0.964407512197996
.,0,10000,LRD,0,.,64_PP,early,-67,12,+,_,0.95747181683898
.,0,10000,LRD,0,.,64_PP,early,-66,12,-,_,0.946742393206692
.,0,10000,LRD,0,.,64_PP,early,-66,12,+,_,0.990280301659444
.,0,10000,LRD,0,.,64_PP,early,-65,12,-,_,0.971498439041703
.,0,10000,LRD,0,.,64_PP,early,-65,12,+,_,0.994782923354234
.,0,10000,LRD,0,.,64_PP,early,-64,12,-,_,0.946329678802486
.,0,10000,LRD,0,.,64_PP,early,-64,12,+,_,0.954983420816986
.,0,10000,LRD,0,.,64_PP,early,-63,12,-,_,0.972983013930514
.,0,10000,LRD,0,.,64_PP,early,-63,12,+,_,0.975382024290724
.,0,10000,LRD,0,.,64_PP,early,-62,12,-,_,0.969639843863736
.,0,10000,LRD,0,.,64_PP,early,-62,12,+,_,1.01330108796284
.,0,10000,LRD,0,.,64_PP,early,-61,12,-,_,0.927234654270884
.,0,10000,LRD,0,.,64_PP,early,-61,12,+,_,0.995713752465057
.,0,10000,LRD,0,.,64_PP,early,-60,12,-,_,0.942393018050486
.,0,10000,LRD,0,.,64_PP,early,-60,12,+,_,0.950159622961554
.,0,10000,LRD,0,.,64_PP,early,-59,12,-,_,0.967820952520222
.,0,10000,LRD,0,.,64_PP,early,-59,12,+,_,0.989771521415203
.,0,10000,LRD,0,.,64_PP,early,-58,12,-,_,0.94449787033629
.,0,10000,LRD,0,.,64_PP,early,-58,12,+,_,0.980736593066789
.,0,10000,LRD,0,.,64_PP,early,-57,12,-,_,0.945410232693589
.,0,10000,LRD,0,.,64_PP,early,-57,12,+,_,0.929287571982934
.,0,10000,LRD,0,.,64_PP,early,-56,12,-,_,0.930796318535111
.,0,10000,LRD,0,.,64_PP,early,-56,12,+,_,0.969347663472501
.,0,10000,LRD,0,.,64_PP,early,-55,12,-,_,0.922549402170501
.,0,10000,LRD,0,.,64_PP,early,-55,12,+,_,0.959220510107698
.,0,10000,LRD,0,.,64_PP,early,-54,12,-,_,0.940338401680928
.,0,10000,LRD,0,.,64_PP,early,-54,12,+,_,0.94898432711705
.,0,10000,LRD,0,.,64_PP,early,-53,12,-,_,0.896966314466226
.,0,10000,LRD,0,.,64_PP,early,-53,12,+,_,0.944088428971879
.,0,10000,LRD,0,.,64_PP,early,-52,12,-,_,0.918068434124622
.,0,10000,LRD,0,.,64_PP,early,-52,12,+,_,0.971003889395576
.,0,10000,LRD,0,.,64_PP,early,-51,12,-,_,0.946224182981516
.,0,10000,LRD,0,.,64_PP,early,-51,12,+,_,0.92756172041563
.,0,10000,LRD,0,.,64_PP,early,-50,12,-,_,0.892482778806373
.,0,10000,LRD,0,.,64_PP,early,-50,12,+,_,0.92349809621932
.,0,10000,LRD,0,.,64_PP,early,-49,12,-,_,0.928147816034535
.,0,10000,LRD,0,.,64_PP,early,-49,12,+,_,0.979438185170129
.,0,10000,LRD,0,.,64_PP,early,-48,12,-,_,0.908060767324418
.,0,10000,LRD,0,.,64_PP,early,-48,12,+,_,0.96831949275564
