dataset,chromosomes,start_position,end_position,score,dataset_strand,counts,sample_names,file_names,layout,cell_line,product,method,uv_exposure,treatment,phase,time_after_exposure,replicate,project,sample_source,sample_strand,mapped_reads,RPKM,windows,repdomains
iz,.,0,100,0,.,0.7018779342723,Hela_64_XR_NA_late_12_NA,HXL64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,-,29510176,0.237842679851283,5,ERD
iz,.,0,100,0,.,0.876056338028169,Hela_64_XR_NA_early_12_NA,HXE64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,early,12,_,repair_replication,Sancar,-,32662652,0.268213474529922,5,ERD
iz,.,0,100,0,.,0.875117370892019,Hela_64_XR_NA_early_12_NA,HXE64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,early,12,_,repair_replication,Sancar,+,32662652,0.267926000280693,5,ERD
iz,.,0,100,0,.,0.710328638497653,Hela_64_XR_NA_late_12_NA,HXL64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,+,29510176,0.240706337535111,6,ERD
iz,.,0,100,0,.,0.760093896713615,Hela_64_XR_NA_late_12_NA,HXL64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,-,29510176,0.257570099450988,6,ERD
iz,.,0,100,0,.,0.856338028169014,Hela_64_XR_NA_early_12_NA,HXE64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,early,12,_,repair_replication,Sancar,-,32662652,0.262176515296129,6,ERD
iz,.,0,100,0,.,0.816901408450704,Hela_64_XR_NA_early_12_NA,HXE64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,early,12,_,repair_replication,Sancar,+,32662652,0.250102596828544,6,ERD
iz,.,0,100,0,.,0.890610328638498,Hela_64_XR_NA_early_12_NA,HXE64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,early,12,_,repair_replication,Sancar,-,32662652,0.272669325392959,7,ERD
iz,.,0,100,0,.,0.740845070422535,Hela_64_XR_NA_late_12_NA,HXL64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,-,29510176,0.251047323615601,7,ERD
iz,.,0,100,0,.,0.729107981220657,Hela_64_XR_NA_late_12_NA,HXL64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,+,29510176,0.247070021276951,7,ERD
