dataset,chromosomes,start_position,end_position,score,dataset_strand,product,phase,time_after_exposure,sample_strand,replicate,xr_ds,windows
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.34512644540769,-88
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.27955560746205,29
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.70083160196095,29
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.20503284381867,29
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.63261149673937,29
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.3083624751564,30
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.7111382813516,30
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.21557776358281,30
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.65759010193409,30
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.24958002297663,31
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.63962899405813,31
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.19792997558894,31
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.58058624459109,31
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.25567348129108,32
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.66440023037322,32
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.16890663931057,32
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.65991404992195,32
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.28208866205358,33
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.64480762957386,33
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.18085708374796,33
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.63846878325915,33
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.31783156991746,34
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.72604447394935,34
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.20291342321113,34
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.64299007987467,34
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.26847510949227,35
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.65775354150544,35
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.18245700833422,35
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.59646841645208,35
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.24780535223988,36
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.64089267368393,36
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.21030885315111,36
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.58626401559147,36
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.24316127621139,37
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.62632050148023,37
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.19570765742763,37
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.5732312380261,37
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.26626365389411,38
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.63367596133107,38
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.22391259462303,38
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.60502097381683,38
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.1470277115841,-87
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.3824089936621,-87
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.14528208936352,-87
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.38657863371636,-87
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.26523487500844,39
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.62419841899237,39
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.20353707238533,39
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.57113965987969,39
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.26439317704207,40
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.56276330526143,40
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.1657761918013,40
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.50263733957154,40
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.21273359305,41
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.51607269938946,41
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.1754069400106,41
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.59029687355305,41
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.22640963694719,42
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.59136262765962,42
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.23325431677679,42
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.57247810687818,42
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.23860546201034,43
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.56718126862752,43
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.19095938540089,43
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.53246808416032,43
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.23511843468871,44
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.59050269726024,44
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.18571862015963,44
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.5494733531651,44
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.252134982085,45
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.54929662699134,45
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.18952879567403,45
