repDomain,sample_names,cell_line,product,method,phase,time_after_exposure,replicate,sample_strand,windows,real,sim,xr_ds
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-1,0.195807401647727,0.161754172648248,1.21052457838928
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-10,0.179060715980487,0.16910663504135,1.05886274619977
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-100,0.196837966919557,0.170237783101828,1.15625311451465
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-11,0.18292533574985,0.158360728466817,1.15511804928443
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-12,0.19761089087343,0.16090581160289,1.22811531109346
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-13,0.183698259703723,0.165430403844799,1.11042623021136
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-14,0.190912216606534,0.155532858315623,1.22747192248673
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-15,0.188593444744916,0.152422201149311,1.23730954757813
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-16,0.184728824975553,0.162602533693606,1.13607593177877
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-17,0.186789955519213,0.165430403844799,1.12911503071982
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-18,0.194261553739982,0.157512367421459,1.23330984684011
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-19,0.205340130412156,0.165995977875038,1.23701870997583
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-2,0.189366368698789,0.178438606540288,1.06124101936446
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-20,0.187820520791043,0.160057450557532,1.17345690648453
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-21,0.18498646629351,0.172217292207663,1.07414571395334
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-22,0.188078162109001,0.162602533693606,1.15667424016528
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-23,0.19761089087343,0.170803357132066,1.15694968876189
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-24,0.174423172257252,0.155532858315623,1.12145545414779
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-25,0.191169857924491,0.162319746678487,1.17773630033534
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-26,0.185244107611468,0.162319746678487,1.14122964951632
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-27,0.188078162109001,0.15270498816443,1.23164386684266
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-28,0.186017031565341,0.170237783101828,1.09268946162248
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-29,0.177772509390699,0.176741884449572,1.00583124336564
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-3,0.193230988468152,0.163168107723845,1.18424483291298
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-30,0.199156738781175,0.155815645330743,1.27815623622669
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-31,0.201217869324835,0.162602533693606,1.2374829884508
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-32,0.195807401647727,0.157512367421459,1.24312398355236
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-33,0.200960228006878,0.163168107723845,1.2316146262295
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-34,0.177514868072742,0.165713190859919,1.07121748818897
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-35,0.184213542339638,0.16118859861801,1.14284474161968
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-36,0.183698259703723,0.153553349209788,1.19631555188516
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-37,0.189366368698789,0.160623024587771,1.17894909017425
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-38,0.181121846524147,0.162036959663368,1.11778107229628
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-39,0.180091281252317,0.161471385633129,1.11531390249845
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-4,0.181637129160062,0.152422201149311,1.19167108065926
