repdomains,log2val,sample_strand,direction,windows
LRD,-0.0853247394611607,+,Left Replicating,-46
ERD,-0.226979619230239,-,Left Replicating,-47
ERD,-0.213109141907616,+,Left Replicating,-47
LRD,-0.66706270439261,-,Left Replicating,-47
LRD,-0.476153679506583,+,Left Replicating,-47
ERD,-0.279293336023779,-,Left Replicating,-48
ERD,-0.186683805979961,+,Left Replicating,-48
LRD,-0.619859397953777,-,Left Replicating,-48
LRD,-0.435183010614006,+,Left Replicating,-48
ERD,-0.143469714990931,-,Left Replicating,-49
ERD,-0.268835212034867,+,Left Replicating,-49
LRD,-0.561960943469568,-,Left Replicating,-49
LRD,-0.461179367520578,+,Left Replicating,-49
ERD,-0.0367648124368009,-,Left Replicating,-5
ERD,-0.049683775821169,+,Left Replicating,-5
LRD,-0.207018419581713,-,Left Replicating,-5
LRD,-0.151712726983888,+,Left Replicating,-5
ERD,-0.19401154816072,-,Left Replicating,-50
ERD,-0.185237530470104,+,Left Replicating,-50
LRD,-0.583411477924611,-,Left Replicating,-50
LRD,-0.149124134524407,+,Left Replicating,-50
ERD,-0.0882724828390841,-,Left Replicating,-51
ERD,-0.0578747875406683,+,Left Replicating,-51
LRD,-0.572877153300956,-,Left Replicating,-51
LRD,-0.336492727121648,+,Left Replicating,-51
ERD,0.00226851364508866,-,Left Replicating,-52
ERD,-0.0974168250797011,+,Left Replicating,-52
LRD,-0.313626622084184,-,Left Replicating,-52
LRD,-0.162161380532216,+,Left Replicating,-52
ERD,-0.131657535096974,-,Left Replicating,-53
ERD,-0.0954835873976211,+,Left Replicating,-53
LRD,-0.650974081880203,-,Left Replicating,-53
LRD,-0.328022925884054,+,Left Replicating,-53
ERD,-0.111465930754788,-,Left Replicating,-54
ERD,-0.0811087655603679,+,Left Replicating,-54
LRD,-0.689562219317676,-,Left Replicating,-54
LRD,-0.268823466446198,+,Left Replicating,-54
ERD,0.0557794298609122,-,Left Replicating,-55
ERD,-0.273660096857067,+,Left Replicating,-55
LRD,-0.490963084526568,-,Left Replicating,-55
LRD,-0.320131920191332,+,Left Replicating,-55
ERD,-0.0372321822361085,-,Left Replicating,-56
ERD,-0.307491190028061,+,Left Replicating,-56
LRD,-0.626807671511084,-,Left Replicating,-56
LRD,-0.378770788482036,+,Left Replicating,-56
ERD,-0.144446471806629,-,Left Replicating,-57
ERD,-0.126533985067625,+,Left Replicating,-57
LRD,-0.680219971584812,-,Left Replicating,-57
LRD,-0.279157824392205,+,Left Replicating,-57
ERD,-0.149522545065521,-,Left Replicating,-58
ERD,-0.0700342366554599,+,Left Replicating,-58
LRD,-0.720825123228729,-,Left Replicating,-58
LRD,-0.265182103673271,+,Left Replicating,-58
ERD,-0.0287733258612418,-,Left Replicating,-59
ERD,-0.0242751711968906,+,Left Replicating,-59
LRD,-0.755137203818398,-,Left Replicating,-59
LRD,-0.338756209920384,+,Left Replicating,-59
ERD,-0.034539467660661,-,Left Replicating,-6
ERD,-0.11284240456538,+,Left Replicating,-6
LRD,-0.140130926731632,-,Left Replicating,-6
LRD,-0.0138342281926831,+,Left Replicating,-6
ERD,-0.118238369042833,-,Left Replicating,-60
ERD,-0.191005469287829,+,Left Replicating,-60
LRD,-0.598187063334361,-,Left Replicating,-60
LRD,-0.31721492652195,+,Left Replicating,-60
ERD,-0.254142977248274,-,Left Replicating,-61
ERD,-0.256663047825167,+,Left Replicating,-61
LRD,-0.501293193497282,-,Left Replicating,-61
LRD,-0.263157016578752,+,Left Replicating,-61
ERD,0.0595958416655612,-,Left Replicating,-62
ERD,-0.00382463530306996,+,Left Replicating,-62
LRD,-0.694445194000992,-,Left Replicating,-62
LRD,-0.231566373137581,+,Left Replicating,-62
